feature,importance
emb_143,0.0006076806885176341
emb_340,0.0006071122339615214
emb_578,0.0006026695340077954
emb_1000,0.000601327586105722
emb_875,0.0005998179396647944
emb_807,0.0005986557562565773
emb_1417,0.0005971319820338343
emb_484,0.0005956185709405624
emb_951,0.0005940095295045425
emb_1524,0.0005929472311620205
emb_1296,0.0005893084674024998
emb_36,0.00058898507268744
emb_1310,0.0005870245240593951
emb_1206,0.0005864386547810166
emb_353,0.000586153277666807
emb_800,0.0005804804391519305
emb_285,0.0005801548739565758
emb_464,0.0005776931468829233
emb_86,0.0005771546360340096
emb_346,0.0005764872894543022
emb_190,0.0005763805941841703
emb_1437,0.0005723727721996514
emb_181,0.0005700876795627181
emb_1070,0.0005687468155462219
emb_697,0.0005667520396890007
emb_1311,0.0005589581029048302
emb_836,0.0005568168746023114
emb_1397,0.0005568159190957021
emb_309,0.00055266884248018
emb_188,0.0005514120785678786
emb_238,0.0005507872301551221
emb_1181,0.0005505179814079467
emb_1314,0.0005483800280016851
emb_1491,0.0005482826447716536
emb_473,0.0005482368052571359
emb_1443,0.0005476568819702824
emb_512,0.0005476505324622349
emb_669,0.0005475766996527409
emb_244,0.0005473514518369159
emb_1245,0.0005455282186743125
emb_427,0.0005449580141100963
emb_1412,0.0005442425747365624
emb_482,0.0005421868224091716
emb_125,0.0005418105529475994
emb_1507,0.0005380358159517416
emb_684,0.0005374018754804899
emb_193,0.0005356183596946619
emb_485,0.0005348508224453652
emb_1318,0.0005315361119810737
emb_185,0.0005311508947272991
emb_291,0.0005236644123114012
emb_915,0.0005229426432734149
emb_365,0.0005227249347609966
emb_1475,0.0005211258201999456
emb_1251,0.0005184219265109603
emb_861,0.0005183906271827676
emb_1510,0.0005160424452442196
emb_1284,0.0005123740486233808
emb_388,0.000509004714849743
emb_1123,0.0005086309788717224
emb_153,0.0005065834426639672
emb_1533,0.0005052873769071197
emb_510,0.0005038990104491283
emb_885,0.0005031936172091883
emb_1137,0.000500515449001541
emb_1113,0.0005002578946953634
emb_138,0.000499170447784677
emb_945,0.0004981194382287804
emb_1336,0.0004971526279464449
emb_1494,0.0004950188338379743
emb_1523,0.0004932825131309445
emb_264,0.0004890822474466189
